Reward,Win,Sprint,DateTime,Flag
1009.00877,True,55,2024-06-19 16:34:14.546096,True
838.93529,False,65,2024-06-19 16:34:14.546096,True
825.66196,False,64,2024-06-19 16:34:14.546096,True
972.91367,True,57,2024-06-19 16:34:14.546096,True
854.29224,False,67,2024-06-19 16:34:14.546096,True
973.01271,True,57,2024-06-19 16:34:14.546096,True
869.25950,False,65,2024-06-19 16:34:14.546096,True
763.83681,False,65,2024-06-19 16:34:14.546096,True
864.71443,False,66,2024-06-19 16:34:14.546096,True
1013.05219,True,54,2024-06-19 16:34:14.546096,True
863.47436,False,65,2024-06-19 16:34:14.546096,True
1014.96666,True,53,2024-06-19 16:34:14.546096,True
730.42475,False,64,2024-06-19 16:34:14.546096,True
862.74835,False,64,2024-06-19 16:34:14.546096,True
777.34106,False,65,2024-06-19 16:34:14.546096,True
921.84498,False,66,2024-06-19 16:34:14.546096,True
941.95913,True,62,2024-06-19 16:34:14.546096,True
975.61723,True,56,2024-06-19 16:34:14.546096,True
946.94215,True,60,2024-06-19 16:34:14.546096,True
870.43555,False,67,2024-06-19 16:34:14.546096,True
782.67320,False,64,2024-06-19 16:34:14.546096,True
844.89480,False,64,2024-06-19 16:34:14.546096,True
716.93152,False,63,2024-06-19 16:34:14.546096,True
987.68302,True,55,2024-06-19 16:34:14.546096,True
939.97707,True,62,2024-06-19 16:34:14.546096,True
988.34026,True,56,2024-06-19 16:34:14.546096,True
938.29833,True,64,2024-06-19 16:34:14.546096,True
929.08706,False,67,2024-06-19 16:34:14.546096,True
849.91363,False,66,2024-06-19 16:34:14.546096,True
959.37655,True,58,2024-06-19 16:34:14.546096,True
1147.54594,True,48,2024-06-19 16:34:14.546096,True
804.24925,False,65,2024-06-19 16:34:14.546096,True
855.86328,False,65,2024-06-19 16:34:14.546096,True
842.35337,False,65,2024-06-19 16:34:14.546096,True
830.89347,False,65,2024-06-19 16:34:14.546096,True
790.69539,False,65,2024-06-19 16:34:14.546096,True
642.88878,False,63,2024-06-19 16:34:14.546096,True
921.79667,False,66,2024-06-19 16:34:14.546096,True
1056.87349,True,51,2024-06-19 16:34:14.546096,True
1043.09209,True,53,2024-06-19 16:34:14.546096,True
1039.67305,True,52,2024-06-19 16:34:14.546096,True
783.38153,False,65,2024-06-19 16:34:14.546096,True
984.84968,True,55,2024-06-19 16:34:14.546096,True
751.69430,False,63,2024-06-19 16:34:14.546096,True
921.46110,False,66,2024-06-19 16:34:14.546096,True
665.30243,False,63,2024-06-19 16:34:14.546096,True
810.05676,False,64,2024-06-19 16:34:14.546096,True
978.28154,True,56,2024-06-19 16:34:14.546096,True
1108.60141,True,50,2024-06-19 16:34:14.546096,True
908.60954,False,66,2024-06-19 16:34:14.546096,True
923.90382,False,66,2024-06-19 16:34:14.546096,True
1056.49932,True,52,2024-06-19 16:34:14.546096,True
938.21073,True,62,2024-06-19 16:34:14.546096,True
980.34603,True,57,2024-06-19 16:34:14.546096,True
873.51542,False,65,2024-06-19 16:34:14.546096,True
1013.24759,True,54,2024-06-19 16:34:14.546096,True
838.01848,False,64,2024-06-19 16:34:14.546096,True
844.40545,False,64,2024-06-19 16:34:14.546096,True
956.78932,True,58,2024-06-19 16:34:14.546096,True
864.84963,False,66,2024-06-19 16:34:14.546096,True
687.53135,False,62,2024-06-19 16:34:14.546096,True
941.75456,True,63,2024-06-19 16:34:14.546096,True
1130.82782,True,50,2024-06-19 16:34:14.546096,True
962.39129,True,58,2024-06-19 16:34:14.546096,True
968.01713,True,57,2024-06-19 16:34:14.546096,True
677.93729,False,61,2024-06-19 16:34:14.546096,True
918.25033,False,66,2024-06-19 16:34:14.546096,True
822.15135,False,64,2024-06-19 16:34:14.546096,True
863.18179,False,66,2024-06-19 16:34:14.546096,True
870.77531,False,65,2024-06-19 16:34:14.546096,True
979.97596,True,56,2024-06-19 16:34:14.546096,True
790.78928,False,63,2024-06-19 16:34:14.546096,True
768.60397,False,63,2024-06-19 16:34:14.546096,True
1095.59915,True,50,2024-06-19 16:34:14.546096,True
963.88019,True,57,2024-06-19 16:34:14.546096,True
725.12150,False,64,2024-06-19 16:34:14.546096,True
757.14805,False,64,2024-06-19 16:34:14.546096,True
765.39877,False,63,2024-06-19 16:34:14.546096,True
913.06589,False,66,2024-06-19 16:34:14.546096,True
1049.37879,True,52,2024-06-19 16:34:14.546096,True
807.47689,False,66,2024-06-19 16:34:14.546096,True
1062.35209,True,52,2024-06-19 16:34:14.546096,True
856.05511,False,65,2024-06-19 16:34:14.546096,True
803.39623,False,64,2024-06-19 16:34:14.546096,True
880.68262,False,66,2024-06-19 16:34:14.546096,True
1101.97822,True,50,2024-06-19 16:34:14.546096,True
1092.86828,True,50,2024-06-19 16:34:14.546096,True
973.41755,True,56,2024-06-19 16:34:14.546096,True
1046.72049,True,52,2024-06-19 16:34:14.546096,True
587.26448,False,60,2024-06-19 16:34:14.546096,True
919.97954,False,67,2024-06-19 16:34:14.546096,True
915.34839,False,66,2024-06-19 16:34:14.546096,True
993.00938,True,55,2024-06-19 16:34:14.546096,True
762.41648,False,63,2024-06-19 16:34:14.546096,True
876.63870,False,65,2024-06-19 16:34:14.546096,True
818.35823,False,65,2024-06-19 16:34:14.546096,True
788.49268,False,63,2024-06-19 16:34:14.546096,True
1028.55148,True,52,2024-06-19 16:34:14.546096,True
1022.66028,True,52,2024-06-19 16:34:14.546096,True
848.17811,False,64,2024-06-19 16:34:14.546096,True
692.81503,True,54,2024-06-19 17:31:28.773315,False
591.01847,False,68,2024-06-19 17:31:28.773315,False
569.77221,True,54,2024-06-19 17:31:28.773315,False
585.94069,True,57,2024-06-19 17:31:28.773315,False
